APPNO,KPDATE
26656/04,1/31/2012 12:00:00 AM
60272/08,1/31/2012 12:00:00 AM
49651/06,1/24/2012 12:00:00 AM
5260/07,1/17/2012 12:00:00 AM
17730/07,1/17/2012 12:00:00 AM
22426/10,1/17/2012 12:00:00 AM
20578/05,1/17/2012 12:00:00 AM
31869/06,1/17/2012 12:00:00 AM
15973/90,1/10/2012 12:00:00 AM
23321/09,1/10/2012 12:00:00 AM
316/07,1/10/2012 12:00:00 AM
2917/05,1/10/2012 12:00:00 AM
14937/06,12/20/2011 12:00:00 AM
54223/08,12/13/2011 12:00:00 AM
54227/08,12/13/2011 12:00:00 AM
54250/08,12/13/2011 12:00:00 AM
53323/08,12/13/2011 12:00:00 AM
53329/08,12/13/2011 12:00:00 AM
53339/08,12/13/2011 12:00:00 AM
54154/08,12/13/2011 12:00:00 AM
54170/08,12/13/2011 12:00:00 AM
54173/08,12/13/2011 12:00:00 AM
3875/06,12/13/2011 12:00:00 AM
35561/05,12/13/2011 12:00:00 AM
41150/05,12/13/2011 12:00:00 AM
4631/06,12/13/2011 12:00:00 AM
14030/06,12/13/2011 12:00:00 AM
14738/06,12/13/2011 12:00:00 AM
14935/06,12/13/2011 12:00:00 AM
